"","secid","date","symbol","symbol_flag","exdate","last_date","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","optionid","cfadj","ss_flag","root","suffix","ticker","index_flag","issuer","div_convention","exercise_style","am_set_flag"
"545518",108105,20050915,"SPB.FT",0,20060617,20050908,"C",1600000,0,0.5,0,63,23785632,1,0,"SPB","FT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545519",108105,20050915,"SPB.LT",0,20051217,20050809,"C",1600000,0,0.5,0,170,23956762,1,0,"SPB","LT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545520",108105,20050915,"SPB.RT",0,20060617,20050830,"P",1600000,340.9,342.9,0,683,23785633,1,0,"SPB","RT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545521",108105,20050915,"SPB.XT",0,20051217,20050902,"P",1600000,361.5,363.5,0,705,23956761,1,0,"SPB","XT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545522",108105,20050915,"SPL.FA",0,20070616,NA,"C",700000,538.3,541.3,0,0,26643070,1,0,"SPL","FA","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545523",108105,20050915,"SPL.FJ",0,20070616,NA,"C",850000,406.1,409.1,0,0,26643074,1,0,"SPL","FJ","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545524",108105,20050915,"SPL.FK",0,20070616,NA,"C",750000,493.7,496.7,0,0,26643072,1,0,"SPL","FK","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545525",108105,20050915,"SPL.FL",0,20070616,20050830,"C",800000,449.5,452.5,0,601,26643073,1,0,"SPL","FL","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545526",108105,20050915,"SPL.FT",0,20070616,20050826,"C",900000,363.4,366.4,0,1,26643076,1,0,"SPL","FT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545527",108105,20050915,"SPL.FW",0,20070616,20050804,"C",950000,321.7,324.7,0,2,26643077,1,0,"SPL","FW","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545528",108105,20050915,"SPL.LA",0,20061216,20050719,"C",700000,533.6,536.6,0,1452,23947991,1,0,"SPL","LA","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545529",108105,20050915,"SPL.LB",0,20061216,NA,"C",600000,627.2,630.2,0,0,27567952,1,0,"SPL","LB","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545530",108105,20050915,"SPL.LJ",0,20061216,20050624,"C",850000,395.9,398.9,0,11,23947990,1,0,"SPL","LJ","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545531",108105,20050915,"SPL.LK",0,20061216,NA,"C",750000,487.2,490.2,0,0,23947987,1,0,"SPL","LK","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545532",108105,20050915,"SPL.LL",0,20061216,20050708,"C",800000,441.3,444.3,0,1251,23947984,1,0,"SPL","LL","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545533",108105,20050915,"SPL.LS",0,20061216,20050526,"C",995000,268.9,271.9,0,150,23947993,1,0,"SPL","LS","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545534",108105,20050915,"SPL.LT",0,20061216,20050429,"C",900000,351.2,354.2,0,113,23947992,1,0,"SPL","LT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545535",108105,20050915,"SPL.LW",0,20061216,NA,"C",950000,307.4,310.4,0,0,23947986,1,0,"SPL","LW","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545536",108105,20050915,"SPL.RA",0,20070616,20050829,"P",700000,3.6,4.6,0,5083,26643071,1,0,"SPL","RA","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545537",108105,20050915,"SPL.RJ",0,20070616,20050915,"P",850000,10.1,12.1,5,525,26643066,1,0,"SPL","RJ","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545538",108105,20050915,"SPL.RK",0,20070616,20050914,"P",750000,5.1,6.7,0,60,26643067,1,0,"SPL","RK","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545539",108105,20050915,"SPL.RL",0,20070616,20050915,"P",800000,7.4,9,500,2360,26643069,1,0,"SPL","RL","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545540",108105,20050915,"SPL.RT",0,20070616,20050915,"P",900000,13.9,15.9,500,935,26643068,1,0,"SPL","RT","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545541",108105,20050915,"SPL.RW",0,20070616,20050913,"P",950000,18.6,20.6,0,2755,26643075,1,0,"SPL","RW","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545542",108105,20050915,"SPL.XA",0,20061216,20050902,"P",700000,1.6,2.4,0,13072,23947985,1,0,"SPL","XA","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545543",108105,20050915,"SPL.XB",0,20061216,20050914,"P",600000,0.3,1.1,0,108,27567953,1,0,"SPL","XB","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545544",108105,20050915,"SPL.XJ",0,20061216,20050907,"P",850000,5.8,7.4,0,7503,23947988,1,0,"SPL","XJ","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545545",108105,20050915,"SPL.XK",0,20061216,20050915,"P",750000,2.6,3,11,30978,23947989,1,0,"SPL","XK","SPX",1,"CBOE S&P 500 INDEX","I","E",1
"545546",108105,20050915,"SPL.XL",0,20061216,20050909,"P",800000,4.4,4.6,0,19033,23947995,1,0,"SPL","XL","SPX",1,"CBOE S&P 500 INDEX","I","E",1
